,year,month,pagecount_desktop_views,pageview_desktop_views,pagecount_mobile_views,pageview_mobile_views,pagecount_all_views,pageview_all_views
0,2007,12,2998331524.0,0.0,0.0,0.0,2998331524.0,0.0
1,2008,01,14792707710.0,0.0,0.0,0.0,14792707710.0,0.0
2,2008,02,14455181289.0,0.0,0.0,0.0,14455181289.0,0.0
3,2008,03,14866217427.0,0.0,0.0,0.0,14866217427.0,0.0
4,2008,04,15477486549.0,0.0,0.0,0.0,15477486549.0,0.0
5,2008,05,16754073276.0,0.0,0.0,0.0,16754073276.0,0.0
6,2008,06,17136312837.0,0.0,0.0,0.0,17136312837.0,0.0
7,2008,07,15918908622.0,0.0,0.0,0.0,15918908622.0,0.0
8,2008,08,15420466557.0,0.0,0.0,0.0,15420466557.0,0.0
9,2008,09,16438601469.0,0.0,0.0,0.0,16438601469.0,0.0
10,2008,10,17038322346.0,0.0,0.0,0.0,17038322346.0,0.0
11,2008,11,16247496213.0,0.0,0.0,0.0,16247496213.0,0.0
12,2008,12,15635125353.0,0.0,0.0,0.0,15635125353.0,0.0
13,2009,01,17408044653.0,0.0,0.0,0.0,17408044653.0,0.0
14,2009,02,16641962580.0,0.0,0.0,0.0,16641962580.0,0.0
15,2009,03,18885477171.0,0.0,0.0,0.0,18885477171.0,0.0
16,2009,04,17966451963.0,0.0,0.0,0.0,17966451963.0,0.0
17,2009,05,18802550199.0,0.0,0.0,0.0,18802550199.0,0.0
18,2009,06,17456772546.0,0.0,0.0,0.0,17456772546.0,0.0
19,2009,07,17404940934.0,0.0,0.0,0.0,17404940934.0,0.0
20,2009,08,17372551152.0,0.0,0.0,0.0,17372551152.0,0.0
21,2009,09,12172547304.0,0.0,0.0,0.0,12172547304.0,0.0
22,2009,10,18048321441.0,0.0,0.0,0.0,18048321441.0,0.0
23,2009,11,17305460730.0,0.0,0.0,0.0,17305460730.0,0.0
24,2009,12,16279517931.0,0.0,0.0,0.0,16279517931.0,0.0
25,2010,01,17110395855.0,0.0,0.0,0.0,17110395855.0,0.0
26,2010,02,17287354254.0,0.0,0.0,0.0,17287354254.0,0.0
27,2010,03,19984043838.0,0.0,0.0,0.0,19984043838.0,0.0
28,2010,04,19855656456.0,0.0,0.0,0.0,19855656456.0,0.0
29,2010,05,19231736325.0,0.0,0.0,0.0,19231736325.0,0.0
30,2010,06,14694105042.0,0.0,0.0,0.0,14694105042.0,0.0
31,2010,07,15888532914.0,0.0,0.0,0.0,15888532914.0,0.0
32,2010,08,22144039980.0,0.0,0.0,0.0,22144039980.0,0.0
33,2010,09,22639466232.0,0.0,0.0,0.0,22639466232.0,0.0
34,2010,10,30518533686.0,0.0,0.0,0.0,30518533686.0,0.0
35,2010,11,20846035062.0,0.0,0.0,0.0,20846035062.0,0.0
36,2010,12,21005856300.0,0.0,0.0,0.0,21005856300.0,0.0
37,2011,01,22705533681.0,0.0,0.0,0.0,22705533681.0,0.0
38,2011,02,20718746547.0,0.0,0.0,0.0,20718746547.0,0.0
39,2011,03,21979637784.0,0.0,0.0,0.0,21979637784.0,0.0
40,2011,04,20506476264.0,0.0,0.0,0.0,20506476264.0,0.0
41,2011,05,21029398134.0,0.0,0.0,0.0,21029398134.0,0.0
42,2011,06,19610026602.0,0.0,0.0,0.0,19610026602.0,0.0
43,2011,07,19715190492.0,0.0,0.0,0.0,19715190492.0,0.0
44,2011,08,19543501083.0,0.0,0.0,0.0,19543501083.0,0.0
45,2011,09,17513216805.0,0.0,0.0,0.0,17513216805.0,0.0
46,2011,10,20923273995.0,0.0,0.0,0.0,20923273995.0,0.0
47,2011,11,22522924923.0,0.0,0.0,0.0,22522924923.0,0.0
48,2011,12,19189073817.0,0.0,0.0,0.0,19189073817.0,0.0
49,2012,01,23425432017.0,0.0,0.0,0.0,23425432017.0,0.0
50,2012,02,22590381423.0,0.0,0.0,0.0,22590381423.0,0.0
51,2012,03,22075630875.0,0.0,0.0,0.0,22075630875.0,0.0
52,2012,04,21660088266.0,0.0,0.0,0.0,21660088266.0,0.0
53,2012,05,23353437906.0,0.0,0.0,0.0,23353437906.0,0.0
54,2012,06,22572797964.0,0.0,0.0,0.0,22572797964.0,0.0
55,2012,07,23458129581.0,0.0,0.0,0.0,23458129581.0,0.0
56,2012,08,23656923177.0,0.0,0.0,0.0,23656923177.0,0.0
57,2012,09,23741069199.0,0.0,0.0,0.0,23741069199.0,0.0
