INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
184659172,06/30/2018 12:00:00 AM,23:41:00,BROOKLYN,75,0,PVT HOUSE                     ,false,,,,25-44,M,BLACK,1020263,184219,40.672250312,-73.870176252
184630196,06/30/2018 12:00:00 AM,21:13:00,BRONX,46,0,MULTI DWELL - APT BUILD       ,true,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1007705,249266,40.850829671,-73.915220281
184659566,06/30/2018 12:00:00 AM,16:16:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD       ,false,,,,45-64,F,BLACK,1001356,179536,40.659453238,-73.938346956
184659566,06/30/2018 12:00:00 AM,16:16:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD       ,false,,,,18-24,M,BLACK,1001356,179536,40.659453238,-73.938346956
184630194,06/30/2018 12:00:00 AM,03:33:00,BROOKLYN,83,0,COMMERCIAL BLDG               ,false,25-44,M,BLACK,25-44,M,BLACK,1008055,188857,40.685021811,-73.914169108
184630194,06/30/2018 12:00:00 AM,03:33:00,BROOKLYN,83,0,COMMERCIAL BLDG               ,true,25-44,M,BLACK,25-44,M,BLACK,1008055,188857,40.685021811,-73.914169108
184659563,06/30/2018 12:00:00 AM,01:35:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS     ,false,,,,25-44,M,BLACK HISPANIC,1009550,181844,40.665768566,-73.908805
184659565,06/29/2018 12:00:00 AM,23:45:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS     ,false,,,,18-24,M,BLACK,1019404,182905,40.668647132,-73.873279756
184574832,06/28/2018 12:00:00 AM,22:57:00,QUEENS,107,0,,false,,,,25-44,M,BLACK,1034907,196314,40.705376561,-73.817294503
184574834,06/28/2018 12:00:00 AM,21:30:00,BROOKLYN,75,0,,true,,,,25-44,M,BLACK,1018081,185046,40.674528847,-73.878038101
184531630,06/27/2018 12:00:00 AM,15:12:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS     ,false,25-44,M,BLACK,25-44,M,BLACK,998644,214588,40.755667508,-73.948046783
184440039,06/26/2018 12:00:00 AM,03:00:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS     ,false,,,,25-44,M,BLACK,999585,214041,40.754164551,-73.944651523
184430739,06/25/2018 12:00:00 AM,19:02:00,BROOKLYN,88,0,,false,25-44,M,BLACK,25-44,F,BLACK,991691,188794,40.684877773,-73.973171916
184396803,06/24/2018 12:00:00 AM,23:02:00,BROOKLYN,81,0,,false,,,,18-24,M,BLACK,1005319,190473,40.689464295,-73.92402909
184396803,06/24/2018 12:00:00 AM,23:02:00,BROOKLYN,81,0,,true,,,,18-24,M,BLACK,1005319,190473,40.689464295,-73.92402909
184396803,06/24/2018 12:00:00 AM,23:02:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1005319,190473,40.689464295,-73.92402909
184396803,06/24/2018 12:00:00 AM,23:02:00,BROOKLYN,81,0,,true,,,,25-44,M,BLACK,1005319,190473,40.689464295,-73.92402909
